WorkTimeInSeconds,Input.Hotel,Input.Question,Answer.Q1AnswerPart1
305,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
10,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
154,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
7,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
39,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
2,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
47,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
69,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
43,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
6,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
320,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
67,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
13,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
17,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
11,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
18,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
244,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
168,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
132,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
273,The Cheshire,Are the rooms of this hotel reasonably comfortable?,-1
26,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
18,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
12,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
28,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
142,The Cheshire,Are the rooms of this hotel reasonably comfortable?,1
14,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,1
319,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,-1
5,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,1
44,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,-1
12,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,1
4,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,1
65,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,-1
6,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,1
38,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,1
253,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,1
27,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,1
12,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,1
220,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,-1
45,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,1
75,Days Inn Downtown St Louis,Are the rooms of this hotel reasonably comfortable?,-1
