WorkTimeInSeconds,Input.Restaurant,Input.Question,Answer.Q1AnswerPart1
8,Comal,Does this restaurant have a drive-through?,0
26,Comal,Does this restaurant have a drive-through?,-100
110,Comal,Does this restaurant have a drive-through?,-60
87,Comal,Does this restaurant have a drive-through?,-80
25,Comal,Does this restaurant have a drive-through?,-100
72,Comal,Does this restaurant have a drive-through?,-100
24,Comal,Does this restaurant have a drive-through?,-80
65,Comal,Does this restaurant have a drive-through?,-80
48,Comal,Does this restaurant have a drive-through?,60
24,Comal,Does this restaurant have a drive-through?,-100
8,Comal,Does this restaurant have a drive-through?,-100
31,Comal,Does this restaurant have a drive-through?,-80
25,Comal,Does this restaurant have a drive-through?,60
28,Comal,Does this restaurant have a drive-through?,-100
33,Comal,Does this restaurant have a drive-through?,-100
22,Comal,Does this restaurant have a drive-through?,-100
32,Comal,Does this restaurant have a drive-through?,-100
60,Comal,Does this restaurant have a drive-through?,-80
20,Comal,Does this restaurant have a drive-through?,-100
25,Comal,Does this restaurant have a drive-through?,-100
4,Comal,Does this restaurant have a drive-through?,-80
25,Comal,Does this restaurant have a drive-through?,-100
19,Comal,Does this restaurant have a drive-through?,-100
79,Comal,Does this restaurant have a drive-through?,-100
37,Comal,Does this restaurant have a drive-through?,80
25,Comal,Does this restaurant have a drive-through?,-80
36,Comal,Does this restaurant have a drive-through?,0
89,Comal,Does this restaurant have a drive-through?,-100
42,Comal,Does this restaurant have a drive-through?,-100
24,Comal,Does this restaurant have a drive-through?,-80
7,Great China,Does this restaurant serve breakfast?,100
44,Great China,Does this restaurant serve breakfast?,-100
16,Great China,Does this restaurant serve breakfast?,-100
420,Great China,Does this restaurant serve breakfast?,80
8,Great China,Does this restaurant serve breakfast?,-100
17,Great China,Does this restaurant serve breakfast?,-80
34,Great China,Does this restaurant serve breakfast?,-100
55,Great China,Does this restaurant serve breakfast?,-100
23,Great China,Does this restaurant serve breakfast?,-100
60,Great China,Does this restaurant serve breakfast?,-100
13,Great China,Does this restaurant serve breakfast?,-80
90,Great China,Does this restaurant serve breakfast?,-100
14,Great China,Does this restaurant serve breakfast?,-100
49,Great China,Does this restaurant serve breakfast?,60
27,Great China,Does this restaurant serve breakfast?,-80
25,Great China,Does this restaurant serve breakfast?,-100
20,Great China,Does this restaurant serve breakfast?,60
42,Great China,Does this restaurant serve breakfast?,-100
26,Great China,Does this restaurant serve breakfast?,-80
55,Great China,Does this restaurant serve breakfast?,100
18,Great China,Does this restaurant serve breakfast?,-100
23,Great China,Does this restaurant serve breakfast?,-80
32,Great China,Does this restaurant serve breakfast?,-100
30,Great China,Does this restaurant serve breakfast?,-100
15,Great China,Does this restaurant serve breakfast?,-80
24,Great China,Does this restaurant serve breakfast?,-100
13,Great China,Does this restaurant serve breakfast?,-80
37,Great China,Does this restaurant serve breakfast?,80
17,Great China,Does this restaurant serve breakfast?,-100
44,Great China,Does this restaurant serve breakfast?,-80
28,Gather,Does this restaurant serve Chinese food?,-100
22,Gather,Does this restaurant serve Chinese food?,-100
55,Gather,Does this restaurant serve Chinese food?,-60
22,Gather,Does this restaurant serve Chinese food?,-100
22,Gather,Does this restaurant serve Chinese food?,-100
78,Gather,Does this restaurant serve Chinese food?,-80
18,Gather,Does this restaurant serve Chinese food?,-100
49,Gather,Does this restaurant serve Chinese food?,-80
31,Gather,Does this restaurant serve Chinese food?,-60
82,Gather,Does this restaurant serve Chinese food?,0
33,Gather,Does this restaurant serve Chinese food?,-80
478,Gather,Does this restaurant serve Chinese food?,-60
79,Gather,Does this restaurant serve Chinese food?,-100
45,Gather,Does this restaurant serve Chinese food?,80
86,Gather,Does this restaurant serve Chinese food?,-100
17,Gather,Does this restaurant serve Chinese food?,-80
48,Gather,Does this restaurant serve Chinese food?,-80
26,Gather,Does this restaurant serve Chinese food?,-100
17,Gather,Does this restaurant serve Chinese food?,-100
