0.205128205128, 39.0; 0.857142857143, 112.0; 0.161290322581, 31.0; 
0.206896551724, 29.0; 0.863636363636, 110.0; 0.259259259259, 27.0; 
0.152173913043, 46.0; 0.857142857143, 112.0; 0.31914893617, 47.0; 
0.05, 20.0; 0.892156862745, 102.0; 0.309523809524, 42.0; 
0.117647058824, 34.0; 0.884615384615, 104.0; 0.259259259259, 27.0; 
0.147058823529, 34.0; 0.877358490566, 106.0; 0.3, 40.0; 
0.358974358974, 39.0; 0.863636363636, 110.0; 0.217391304348, 23.0; 
0.222222222222, 27.0; 0.884615384615, 104.0; 0.208333333333, 24.0; 
0.172413793103, 29.0; 0.87037037037, 108.0; 0.3125, 32.0; 
0.116279069767, 43.0; 0.850877192982, 114.0; 0.184210526316, 38.0; 
0.132075471698, 53.0; 0.836363636364, 110.0; 0.134615384615, 52.0; 
0.1, 30.0; 0.867924528302, 106.0; 0.325, 40.0; 
0.19512195122, 41.0; 0.867924528302, 106.0; 0.15625, 32.0; 
0.204545454545, 44.0; 0.85, 100.0; 0.185185185185, 27.0; 
0.0967741935484, 31.0; 0.9, 100.0; 0.185185185185, 27.0; 
0.0888888888889, 45.0; 0.89, 100.0; 0.0689655172414, 29.0; 
0.179487179487, 39.0; 0.86, 100.0; 0.222222222222, 27.0; 
0.206896551724, 29.0; 0.872549019608, 102.0; 0.210526315789, 19.0; 
0.0857142857143, 35.0; 0.872549019608, 102.0; 0.142857142857, 28.0; 
0.0689655172414, 29.0; 0.88, 100.0; 0.185185185185, 27.0; 
0.277777777778, 36.0; 0.843137254902, 102.0; 0.227272727273, 44.0; 
0.222222222222, 36.0; 0.852941176471, 102.0; 0.192307692308, 26.0; 
0.259259259259, 54.0; 0.852941176471, 102.0; 0.3, 40.0; 
0.0555555555556, 18.0; 0.9, 100.0; 0.257142857143, 35.0; 
0.0384615384615, 26.0; 0.882352941176, 102.0; 0.127659574468, 47.0; 
0.0, 19.0; 0.88, 100.0; 0.151515151515, 33.0; 
0.0, 18.0; 0.88, 100.0; 0.181818181818, 22.0; 
0.142857142857, 35.0; 0.87, 100.0; 0.1875, 32.0; 
0.184210526316, 38.0; 0.88, 100.0; 0.234042553191, 47.0; 
0.133333333333, 30.0; 0.85, 100.0; 0.172413793103, 29.0; 
0.148148148148, 27.0; 0.85, 100.0; 0.272727272727, 33.0; 
0.0909090909091, 22.0; 0.87, 100.0; 0.2, 25.0; 
0.166666666667, 42.0; 0.87, 100.0; 0.161290322581, 31.0; 
0.1, 20.0; 0.86, 100.0; 0.172413793103, 29.0; 
0.08, 25.0; 0.87, 100.0; 0.114285714286, 35.0; 
0.216216216216, 37.0; 0.88, 100.0; 0.138888888889, 36.0; 
0.1875, 32.0; 0.846153846154, 104.0; 0.185185185185, 27.0; 
0.0857142857143, 35.0; 0.855769230769, 104.0; 0.166666666667, 24.0; 
0.210526315789, 38.0; 0.85, 100.0; 0.285714285714, 35.0; 
0.133333333333, 30.0; 0.87, 100.0; 0.25, 28.0; 
0.142857142857, 35.0; 0.87, 100.0; 0.176470588235, 34.0; 
0.125, 32.0; 0.86, 100.0; 0.206896551724, 29.0; 
0.1875, 32.0; 0.87, 100.0; 0.205882352941, 34.0; 
0.0526315789474, 19.0; 0.872549019608, 102.0; 0.194444444444, 36.0; 
0.185185185185, 27.0; 0.862745098039, 102.0; 0.178571428571, 28.0; 
0.222222222222, 36.0; 0.862745098039, 102.0; 0.148148148148, 27.0; 
0.0909090909091, 22.0; 0.843137254902, 102.0; 0.21875, 32.0; 
0.135135135135, 37.0; 0.86, 100.0; 0.25, 24.0; 
0.162790697674, 43.0; 0.85, 100.0; 0.131578947368, 38.0; 
0.131578947368, 38.0; 0.85, 100.0; 0.185185185185, 27.0; 
0.25, 36.0; 0.86, 100.0; 0.05, 20.0; 
0.0, 23.0; 0.88, 100.0; 0.107142857143, 28.0; 
0.0740740740741, 27.0; 0.86, 100.0; 0.210526315789, 38.0; 
0.0333333333333, 30.0; 0.86, 100.0; 0.15625, 32.0; 
0.264705882353, 34.0; 0.9, 100.0; 0.125, 24.0; 
0.1, 30.0; 0.85, 100.0; 0.238095238095, 21.0; 
0.257142857143, 35.0; 0.87, 100.0; 0.142857142857, 35.0; 
0.0714285714286, 28.0; 0.89, 100.0; 0.2, 30.0; 
0.0789473684211, 38.0; 0.86, 100.0; 0.129032258065, 31.0; 
0.193548387097, 31.0; 0.85, 100.0; 0.238095238095, 21.0; 
0.125, 32.0; 0.85, 100.0; 0.157894736842, 19.0; 
0.166666666667, 30.0; 0.87, 100.0; 0.190476190476, 21.0; 
0.0416666666667, 24.0; 0.86, 100.0; 0.130434782609, 23.0; 
0.107142857143, 28.0; 0.85, 100.0; 0.129032258065, 31.0; 
0.0810810810811, 37.0; 0.88, 100.0; 0.133333333333, 30.0; 
0.185185185185, 27.0; 0.86, 100.0; 0.0294117647059, 34.0; 
0.075, 40.0; 0.87, 100.0; 0.0666666666667, 30.0; 
0.230769230769, 39.0; 0.86, 100.0; 0.137931034483, 29.0; 
0.1, 30.0; 0.87, 100.0; 0.176470588235, 34.0; 
0.0967741935484, 31.0; 0.88, 100.0; 0.115384615385, 26.0;
