ip_pair, numTrue, numFalse, overallVote
Hyatt Regency St. Louis at The Arch/Does this hotel have a gym?, 25, 0, True
Residence Inn St Louis/Does this hotel have a gym?, 25, 0, True
Parkway/Does this hotel have a gym?, 23, 2, True
Marriott St. Louis Grand/Does this hotel have a gym?, 25, 0, True
Drury Plaza at the Arch/Does this hotel have a gym?, 24, 1, True
Hampton Inn St Louis Downtown/Does this hotel have a gym?, 24, 1, True
Four Seasons Saint Louis/Does this hotel have a gym?, 24, 1, True
Hilton St. Louis at the Ballpark/Does this hotel have a gym?, 25, 0, True
St. Louis City Center Hotel/Does this hotel have a gym?, 24, 1, True
The Chase Park Plaza/Does this hotel have a gym?, 22, 3, True
DoubleTree by Hilton St Louis Union Station/Does this hotel have a gym?, 24, 1, True
Crowne Plaza St. Louis - Downtown/Does this hotel have a gym?, 23, 2, True
Hilton Saint Louis Airport/Does this hotel have a gym?, 25, 0, True
The Westin St Louis/Does this hotel have a gym?, 23, 2, True
Hilton St. Louis Downtown at the Arch/Does this hotel have a gym?, 25, 0, True
Holiday Inn St. Louis - Downtown Conv Ctr/Does this hotel have a gym?, 23, 2, True
Comfort Inn St Louis - Westport/Does this hotel have a gym?, 23, 2, True
Drury Inn & Suites St. Louis Convention Center/Does this hotel have a gym?, 25, 0, True
Embassy Suites St. Louis - Downtown/Does this hotel have a gym?, 23, 2, True
Pear Tree Inn St. Louis Near Union Station/Does this hotel have a gym?, 23, 2, True
Hampton Inn & Suites Saint Louis at Forest Park/Does this hotel have a gym?, 23, 2, True
Red Roof Inn St Louis - Forest Park Hampton Avenue/Does this hotel have a gym?, 5, 20, False
Courtyard St Louis Downtown/Does this hotel have a gym?, 24, 1, True
Drury Inn Saint Louis Union Station/Does this hotel have a gym?, 24, 1, True
Hampton Inn & Suites St Louis - South I-55/Does this hotel have a gym?, 23, 2, True
Magnolia St. Louis/Does this hotel have a gym?, 20, 5, True
Moonrise/Does this hotel have a gym?, 24, 1, True
Holiday Inn Express St Louis/Does this hotel have a gym?, 24, 1, True
Courtyard Saint Louis Westport Plaza/Does this hotel have a gym?, 24, 1, True
Missouri Athletic Club/Does this hotel have a gym?, 23, 2, True
Best Western Kirkwood Inn/Does this hotel have a gym?, 24, 1, True
Marriott St Louis Airport/Does this hotel have a gym?, 24, 1, True
Hawthorn Suites by Wyndham St Louis Westport Plaza/Does this hotel have a gym?, 25, 0, True
Renaissance St Louis Airport/Does this hotel have a gym?, 25, 0, True
Best Western St Louis Inn/Does this hotel have a gym?, 22, 3, True
Marriott St. Louis West/Does this hotel have a gym?, 25, 0, True
River City/Does this hotel have a gym?, 21, 4, True
Holiday Inn Express St. Louis Airport - Riverport/Does this hotel have a gym?, 22, 3, True
Pear Tree Inn St. Louis Airport/Does this hotel have a gym?, 23, 2, True
Courtyard By Marriott St Louis Downtown Convention Center/Does this hotel have a gym?, 24, 1, True
The Cheshire/Does this hotel have a gym?, 17, 8, True
Days Inn Downtown St Louis/Does this hotel have a gym?, 23, 2, True
Courtyard St Louis Airport - Earth City/Does this hotel have a gym?, 24, 1, True
Days Inn St Louis Westport MO/Does this hotel have a gym?, 23, 2, True
Fleur-De-Lys Mansion/Does this hotel have a gym?, 3, 22, False
Americas Best Value Inn-St. Louis Downtown/Does this hotel have a gym?, 7, 18, False
Holiday Inn St. Louis - Forest Park/Does this hotel have a gym?, 24, 1, True
Ignacio/Does this hotel have a gym?, 20, 5, True
Hampton Inn St Louis-Airport/Does this hotel have a gym?, 24, 1, True
Sonesta ES Suites St. Louis/Does this hotel have a gym?, 24, 1, True
Residence Inn St Louis Galleria/Does this hotel have a gym?, 19, 6, True
Sheraton Westport Chalet Saint Louis/Does this hotel have a gym?, 24, 1, True
Holiday Inn St Louis-South County Center/Does this hotel have a gym?, 25, 0, True
Holiday Inn St Louis SW - Route66/Does this hotel have a gym?, 20, 5, True
Hampton Inn Saint Louis - Sunset Hills/Does this hotel have a gym?, 25, 0, True
Drury Inn Saint Louis Airport/Does this hotel have a gym?, 24, 1, True
Drury Inn & Suites Near Forest Park/Does this hotel have a gym?, 23, 2, True
