HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Restaurant,Input.Address,Input.Question,Answer.MultiLineTextInput,Answer.Q1AnswerPart1,Answer.box1,Approve,Reject
3O4VWC1GEW6ABZEHQZCSQZET9JG3JS,3AYVNGH59I0HE8JWZGOOXB8LYSGDY8,Answer questions about restaurants,"Answer questions about restaurants' menus, atmospheres, and other information by searching the Internet.","restaurant, menu",$0.05,Wed Jul 15 16:04:22 PDT 2015,30,BatchId:2019634;,600,172800,Sun Jul 19 16:04:22 PDT 2015,,,308Q0PEVB8D2IAHLFSX4UVY0TRWI95,A26AK8IVDJQ94M,Submitted,Wed Jul 15 17:14:18 PDT 2015,Wed Jul 15 17:14:26 PDT 2015,Fri Jul 17 17:14:26 PDT 2015,,,,8,0% (0/0),0% (0/0),0% (0/0),Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?,{},0,first_checkbox,,
3O4VWC1GEW6ABZEHQZCSQZET9JG3JS,3AYVNGH59I0HE8JWZGOOXB8LYSGDY8,Answer questions about restaurants,"Answer questions about restaurants' menus, atmospheres, and other information by searching the Internet.","restaurant, menu",$0.05,Wed Jul 15 16:04:22 PDT 2015,30,BatchId:2019634;,600,172800,Sun Jul 19 16:04:22 PDT 2015,,,31Q0U3WYDPFN4LXUSOEEO0Q8HZU17H,AIJVOVZVE7Z5U,Submitted,Wed Jul 15 16:49:20 PDT 2015,Wed Jul 15 16:49:46 PDT 2015,Fri Jul 17 16:49:46 PDT 2015,,,,26,0% (0/0),0% (0/0),0% (0/0),Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?,{},-100,first_checkbox,,
3O4VWC1GEW6ABZEHQZCSQZET9JG3JS,3AYVNGH59I0HE8JWZGOOXB8LYSGDY8,Answer questions about restaurants,"Answer questions about restaurants' menus, atmospheres, and other information by searching the Internet.","restaurant, menu",$0.05,Wed Jul 15 16:04:22 PDT 2015,30,BatchId:2019634;,600,172800,Sun Jul 19 16:04:22 PDT 2015,,,32AT8R96GL9PWG8KIFM9UTR1FA6USY,A38DC3BG1ZCVZ2,Submitted,Wed Jul 15 17:07:40 PDT 2015,Wed Jul 15 17:09:30 PDT 2015,Fri Jul 17 17:09:30 PDT 2015,,,,110,0% (0/0),0% (0/0),0% (0/0),Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?,{},-60,first_checkbox,,
3O4VWC1GEW6ABZEHQZCSQZET9JG3JS,3AYVNGH59I0HE8JWZGOOXB8LYSGDY8,Answer questions about restaurants,"Answer questions about restaurants' menus, atmospheres, and other information by searching the Internet.","restaurant, menu",$0.05,Wed Jul 15 16:04:22 PDT 2015,30,BatchId:2019634;,600,172800,Sun Jul 19 16:04:22 PDT 2015,,,32N49TQG3GIL9ZBQ65AN5FZE7B4AV3,A140ZWPCRK3F5Z,Submitted,Wed Jul 15 16:37:06 PDT 2015,Wed Jul 15 16:38:33 PDT 2015,Fri Jul 17 16:38:33 PDT 2015,,,,87,0% (0/0),0% (0/0),0% (0/0),Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?,{},-80,first_checkbox,,
3O4VWC1GEW6ABZEHQZCSQZET9JG3JS,3AYVNGH59I0HE8JWZGOOXB8LYSGDY8,Answer questions about restaurants,"Answer questions about restaurants' menus, atmospheres, and other information by searching the Internet.","restaurant, menu",$0.05,Wed Jul 15 16:04:22 PDT 2015,30,BatchId:2019634;,600,172800,Sun Jul 19 16:04:22 PDT 2015,,,35K3O9HUABDZ3F6CMV75JCMJ4WHFEI,A35LEE74GHDV9U,Submitted,Wed Jul 15 16:52:37 PDT 2015,Wed Jul 15 16:53:02 PDT 2015,Fri Jul 17 16:53:02 PDT 2015,,,,25,0% (0/0),0% (0/0),0% (0/0),Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?,The pictures show it butting up to two buildings. No way it has a drive through,-100,first_checkbox,,
3O4VWC1GEW6ABZEHQZCSQZET9JG3JS,3AYVNGH59I0HE8JWZGOOXB8LYSGDY8,Answer questions about restaurants,"Answer questions about restaurants' menus, atmospheres, and other information by searching the Internet.","restaurant, menu",$0.05,Wed Jul 15 16:04:22 PDT 2015,30,BatchId:2019634;,600,172800,Sun Jul 19 16:04:22 PDT 2015,,,36AHBNMV1RC0B097VQO92FBEAV8YD7,A13XS8F6QHRT6H,Submitted,Wed Jul 15 17:08:04 PDT 2015,Wed Jul 15 17:09:16 PDT 2015,Fri Jul 17 17:09:16 PDT 2015,,,,72,0% (0/0),0% (0/0),0% (0/0),Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?,{},-100,first_checkbox,,
3O4VWC1GEW6ABZEHQZCSQZET9JG3JS,3AYVNGH59I0HE8JWZGOOXB8LYSGDY8,Answer questions about restaurants,"Answer questions about restaurants' menus, atmospheres, and other information by searching the Internet.","restaurant, menu",$0.05,Wed Jul 15 16:04:22 PDT 2015,30,BatchId:2019634;,600,172800,Sun Jul 19 16:04:22 PDT 2015,,,388U7OUMF71XFFWR5J8KFCYYDJLR06,A38XFEVWJDEUTN,Submitted,Wed Jul 15 17:16:51 PDT 2015,Wed Jul 15 17:17:15 PDT 2015,Fri Jul 17 17:17:15 PDT 2015,,,,24,0% (0/0),0% (0/0),0% (0/0),Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?,{},-80,first_checkbox,,
3O4VWC1GEW6ABZEHQZCSQZET9JG3JS,3AYVNGH59I0HE8JWZGOOXB8LYSGDY8,Answer questions about restaurants,"Answer questions about restaurants' menus, atmospheres, and other information by searching the Internet.","restaurant, menu",$0.05,Wed Jul 15 16:04:22 PDT 2015,30,BatchId:2019634;,600,172800,Sun Jul 19 16:04:22 PDT 2015,,,39OWYR0EPKRX9KN3MWJZQFEZM8PFY0,A3M7FI1M6EPH7M,Submitted,Wed Jul 15 17:15:52 PDT 2015,Wed Jul 15 17:16:57 PDT 2015,Fri Jul 17 17:16:57 PDT 2015,,,,65,0% (0/0),0% (0/0),0% (0/0),Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?,No drive through on google maps.,-80,first_checkbox,,
3O4VWC1GEW6ABZEHQZCSQZET9JG3JS,3AYVNGH59I0HE8JWZGOOXB8LYSGDY8,Answer questions about restaurants,"Answer questions about restaurants' menus, atmospheres, and other information by searching the Internet.","restaurant, menu",$0.05,Wed Jul 15 16:04:22 PDT 2015,30,BatchId:2019634;,600,172800,Sun Jul 19 16:04:22 PDT 2015,,,3ATTHHXXWAOSJ6ZJI83IAYKI0ULXI1,A39NWAFOYGDIP,Submitted,Wed Jul 15 17:04:58 PDT 2015,Wed Jul 15 17:05:46 PDT 2015,Fri Jul 17 17:05:46 PDT 2015,,,,48,0% (0/0),0% (0/0),0% (0/0),Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?,{},60,first_checkbox,,
3O4VWC1GEW6ABZEHQZCSQZET9JG3JS,3AYVNGH59I0HE8JWZGOOXB8LYSGDY8,Answer questions about restaurants,"Answer questions about restaurants' menus, atmospheres, and other information by searching the Internet.","restaurant, menu",$0.05,Wed Jul 15 16:04:22 PDT 2015,30,BatchId:2019634;,600,172800,Sun Jul 19 16:04:22 PDT 2015,,,3BDCF01OGXUJ9CXZ87MXLSJJJ45YLI,A276JM9Q4946HH,Submitted,Wed Jul 15 16:36:27 PDT 2015,Wed Jul 15 16:36:51 PDT 2015,Fri Jul 17 16:36:51 PDT 2015,,,,24,0% (0/0),0% (0/0),0% (0/0),Comal,"2020 Shattuck Ave, Berkeley, CA 94704",Does this restaurant have a drive-through?,{},-100,first_checkbox,,
