AssignmentId,WorkerId,WorkTimeInSeconds,Input.Restaurant,Input.Question,Answer.Q1AnswerPart1
308Q0PEVB8D2IAHLFSX4UVY0TRWI95,A26AK8IVDJQ94M,8,Comal,Does this restaurant have a drive-through?,0
31Q0U3WYDPFN4LXUSOEEO0Q8HZU17H,AIJVOVZVE7Z5U,26,Comal,Does this restaurant have a drive-through?,-100
32AT8R96GL9PWG8KIFM9UTR1FA6USY,A38DC3BG1ZCVZ2,110,Comal,Does this restaurant have a drive-through?,-60
32N49TQG3GIL9ZBQ65AN5FZE7B4AV3,A140ZWPCRK3F5Z,87,Comal,Does this restaurant have a drive-through?,-80
35K3O9HUABDZ3F6CMV75JCMJ4WHFEI,A35LEE74GHDV9U,25,Comal,Does this restaurant have a drive-through?,-100
36AHBNMV1RC0B097VQO92FBEAV8YD7,A13XS8F6QHRT6H,72,Comal,Does this restaurant have a drive-through?,-100
388U7OUMF71XFFWR5J8KFCYYDJLR06,A38XFEVWJDEUTN,24,Comal,Does this restaurant have a drive-through?,-80
39OWYR0EPKRX9KN3MWJZQFEZM8PFY0,A3M7FI1M6EPH7M,65,Comal,Does this restaurant have a drive-through?,-80
3ATTHHXXWAOSJ6ZJI83IAYKI0ULXI1,A39NWAFOYGDIP,48,Comal,Does this restaurant have a drive-through?,60
3BDCF01OGXUJ9CXZ87MXLSJJJ45YLI,A276JM9Q4946HH,24,Comal,Does this restaurant have a drive-through?,-100
3CFJTT4SXTQY4RTS0VZKGZ7UY13I7O,A3F7TD3W9043EO,8,Comal,Does this restaurant have a drive-through?,-100
3EF8EXOTT1VGOGYWTX3BRQVH8UR1JL,A1T6KGWNEUR9XD,31,Comal,Does this restaurant have a drive-through?,-80
3EQHHY4HQSS5LW9EMEKKX3GISIIG5H,AQXSUU4I4DAH8,25,Comal,Does this restaurant have a drive-through?,60
3HRMW88U16Q6IZJZ0BC3TD4O7WFM06,A2BZJAUH0XPO54,28,Comal,Does this restaurant have a drive-through?,-100
