HIT ID,HOTEL,ASSIGNMENT ID,TIME TAKEN,WORKER ANSWER
33TGB4G0LPHG50H0MIXKZLR8L5QXTZ,( Hampton Inn & Suites Saint Louis at Forest Park),3TMFV4NEP8EK50IGZHV5VQCZC44W81,282.0,"Saint Marys; 6420 Clayton Ave, St. Louis, MO 63139, USA{{NEWENTRY}}Barnes-Jewish Hospital;{{NEWENTRY}}4353 Clayton Avenue (314) 362-0700., St. Louis, MO 63110, USA{{NEWENTRY}}Saint Louis Children's Hospital; 63110, USA{{NEWENTRY}}Washington University Hospital;1 Barnes Jewish Hospital Plaza, St. Louis, MO 63110, USA"
33TGB4G0LPHG50H0MIXKZLR8L5QXTZ,( Hampton Inn & Suites Saint Louis at Forest Park),3JZQSN0I3QAXNT23SQXTJF7X5K7GFJ,177.0,SSM Health St. Mary's Hospital; 6420 Clayton Rd{{NEWENTRY}}Barnes-Jewish Hospital; 1 Barnes Jewish Hospital Plaza{{NEWENTRY}}Barnes-Jewish Hospital; 4353 Clayton Avenue {{NEWENTRY}}SLUCare Physician Group; 1438 S Grand Blvd
33TGB4G0LPHG50H0MIXKZLR8L5QXTZ,( Hampton Inn & Suites Saint Louis at Forest Park),3TXWC2NHNZQRCOKHK4RIYX4PQX6S9N,26.0,Harley street hospital london
33TGB4G0LPHG50H0MIXKZLR8L5QXTZ,( Hampton Inn & Suites Saint Louis at Forest Park),3AMYWKA6YBMPWDQQFG7XUI3M38E6OE,6.0,None
33TGB4G0LPHG50H0MIXKZLR8L5QXTZ,( Hampton Inn & Suites Saint Louis at Forest Park),3M0BCWMB8VW37YGN2TFFMS20KB1BWT,100.0,"Barnes-Jewish Hospital; 1 Barnes Jewish Hospital Plaza, St. Louis, MO 63110, USA{{NEWENTRY}}SSM Health St. Mary's Hospital; 6420 Clayton Rd, Richmond Heights, MO 63117, USA"
33TGB4G0LPHG50H0MIXKZLR8L5QXTZ,( Hampton Inn & Suites Saint Louis at Forest Park),3L70J4KAZGMZFIB4FKATZTT9VDIADW,37.0,"St. Louis Children's Hospital Emergency Room{{NEWENTRY}}1 Childrens Pl, St. Louis,"
33TGB4G0LPHG50H0MIXKZLR8L5QXTZ,( Hampton Inn & Suites Saint Louis at Forest Park),3IUZPWIU1O7401KH86S8LVLQ762KWG,64.0,Barnes-Jewish Hospital; 1 Barnes Jewish Hospital Plaza{{NEWENTRY}}SSM Health St. Mary's Hospital; 6420 Clayton Rd
33TGB4G0LPHG50H0MIXKZLR8L5QXTZ,( Hampton Inn & Suites Saint Louis at Forest Park),3JMSRU9HQIUOZCS2MAC91YP7G06VEZ,389.0,"SSM Health St. Mary's Hospital - St. Louis; 6420 Clayton Rd, Richmond Heights, MO 63117{{NEWENTRY}}Barnes-Jewish Hospital; 1 Barnes Jewish Hospital Plaza, St. Louis, MO 63110{{NEWENTRY}}SLUCare Physician Group; Monteleone Hall, 1438 S Grand Blvd, St. Louis, MO 63104"
33TGB4G0LPHG50H0MIXKZLR8L5QXTZ,( Hampton Inn & Suites Saint Louis at Forest Park),3NC5L260MOMLF6J1G9A1OOGZW8OOF8,76.0,"5650 Oakland Ave., Saint Louis, Missouri, 63110, USA TEL: +1-314-655-3993 FAX: +1-314-655-3994"
3EQPA8A374WBWSLAB671U0KAV3XZJT,( Red Roof Inn St Louis - Forest Park Hampton Avenue),382M9COHEHFOMX32HK245CNO2RQEUI,318.0,"St. Mary's Hospital;1127 Bellevue Ave, Richmond Heights, MO 63117, USA{{NEWENTRY}}Shriners Hospitals for Children  St. Louis;4400 Clayton Ave, St. Louis, MO 63110, USA{{NEWENTRY}}Washington University Hospital;1 Barnes Jewish Hospital Plaza, St. Louis, MO 63110, USA{{NEWENTRY}}Barnes-Jewish Hospital;1 Barnes Jewish Hospital Plaza, St. Louis, MO 63110, USA"
